,date,well_name,on_str_hrs,bottom_hole_psi,downhole_temp,Annulus_p,choke_size,whp,wht,date_conv,oil_stb,form_gas_mscf,total_gas_mscf,water_bbl
0,15-Feb-14,Well_#1,0.0,4050.0,189.866,0.0,1.17951,482.46,50.864,2014-02-15,0.0,0.0,0.0,0.0
1,16-Feb-14,Well_#1,0.0,3961.0,189.945,0.0,2.9944,328.601,47.668,2014-02-16,0.0,0.0,0.0,0.0
2,17-Feb-14,Well_#1,0.0,3961.0,190.004,0.0,1.90349,387.218,48.962,2014-02-17,0.0,0.0,0.0,0.0
3,18-Feb-14,Well_#1,0.0,3964.0,190.02,0.0,0.0,308.98,46.636,2014-02-18,0.0,0.0,0.0,0.0
4,19-Feb-14,Well_#1,0.0,3965.0,190.107,0.0,30.2076,196.057,47.297,2014-02-19,0.0,0.0,0.0,0.0
5,20-Feb-14,Well_#1,0.0,3964.0,190.181,0.0,0.0,58.036,47.878,2014-02-20,0.0,0.0,0.0,0.0
6,21-Feb-14,Well_#1,0.0,3972.0,189.939,0.0,39.99891,304.692,47.938,2014-02-21,0.0,0.0,0.0,0.0
7,22-Feb-14,Well_#1,0.0,3978.0,189.609,0.0,0.0,453.734,49.351,2014-02-22,0.0,0.0,0.0,0.0
8,23-Feb-14,Well_#1,0.0,3985.0,189.435,0.0,0.42376,667.13,49.351,2014-02-23,0.0,0.0,0.0,0.0
9,24-Feb-14,Well_#1,0.0,4096.0,189.343,0.0,0.44066,440.036,49.316,2014-02-24,0.0,0.0,0.0,0.0
10,25-Feb-14,Well_#1,0.0,3933.0,199.472,0.0,20.36006,1377.34,66.554,2014-02-25,0.0,0.0,0.0,0.0
11,26-Feb-14,Well_#1,12.0,3777.0,205.561,1049.64,42.04315,1557.76,82.885,2014-02-26,631.0,636.0,852.0,0.0
12,27-Feb-14,Well_#1,24.0,3527.0,207.698,962.464,45.7525,1456.12,116.828,2014-02-27,1167.0,1166.0,1666.0,0.0
13,28-Feb-14,Well_#1,24.0,3430.0,208.071,998.02,46.30034,1375.62,120.235,2014-02-28,1550.0,1560.0,2197.0,0.0
14,01-Mar-14,Well_#1,24.0,3335.0,208.24,977.291,47.07776,1271.45,122.467,2014-03-01,1248.0,1252.0,1799.0,0.0
15,02-Mar-14,Well_#1,24.0,3226.0,208.374,985.493,48.34917,1261.95,124.217,2014-03-02,1346.0,1355.0,1775.0,0.0
16,03-Mar-14,Well_#1,24.0,3142.0,208.377,971.198,48.78807,1202.41,126.017,2014-03-03,1350.0,1368.0,1792.0,0.0
17,04-Mar-14,Well_#1,24.0,3067.0,208.357,970.844,49.2138,1092.62,127.378,2014-03-04,1345.0,1357.0,1850.0,0.0
18,05-Mar-14,Well_#1,24.0,3037.0,208.268,1034.27,48.6105,1092.96,124.192,2014-03-05,1280.0,1301.0,1765.0,0.0
19,06-Mar-14,Well_#1,24.0,3045.0,208.111,1020.24,47.45899,1075.0,119.861,2014-03-06,1225.0,1246.0,1740.0,0.0
20,07-Mar-14,Well_#1,24.0,3016.0,208.084,969.03,47.47047,1054.01,119.238,2014-03-07,1213.0,1228.0,1740.0,0.0
21,08-Mar-14,Well_#1,24.0,3020.0,207.985,1005.45,46.85459,1075.32,116.814,2014-03-08,1074.0,1089.0,1542.0,0.0
22,09-Mar-14,Well_#1,24.0,3011.0,207.949,1036.84,46.72829,1074.47,116.637,2014-03-09,1045.0,1041.0,1414.0,0.0
23,10-Mar-14,Well_#1,24.0,3009.0,207.898,987.094,46.04211,1100.84,113.142,2014-03-10,970.0,980.0,1388.0,0.0
24,11-Mar-14,Well_#1,24.0,2994.0,207.923,986.576,46.40482,1056.7,108.123,2014-03-11,946.0,964.0,1380.0,0.0
25,12-Mar-14,Well_#1,24.0,2948.0,208.057,962.554,47.53541,1043.21,114.041,2014-03-12,1003.0,1020.0,1409.0,0.0
26,13-Mar-14,Well_#1,24.0,2946.0,208.02,1022.89,46.48279,1012.64,111.873,2014-03-13,925.0,949.0,1339.0,0.0
27,14-Mar-14,Well_#1,24.0,2945.0,207.992,962.694,45.87804,1003.55,112.215,2014-03-14,914.0,898.0,1287.0,0.0
28,15-Mar-14,Well_#1,24.0,2950.0,207.764,1022.05,46.69035,1051.51,111.796,2014-03-15,944.0,367.0,528.0,0.0
29,16-Mar-14,Well_#1,24.0,2938.0,208.017,1023.26,46.06907,1018.87,112.763,2014-03-16,824.0,828.0,1098.0,0.0
30,17-Mar-14,Well_#1,24.0,2950.0,207.91,1039.04,45.52558,1006.03,111.069,2014-03-17,769.0,782.0,1025.0,0.0
31,18-Mar-14,Well_#1,24.0,2961.0,207.82,1045.25,44.94514,1005.84,107.157,2014-03-18,740.0,754.0,1079.0,0.0
32,19-Mar-14,Well_#1,24.0,2944.0,207.86,1041.88,43.80723,1023.26,108.258,2014-03-19,714.0,724.0,969.0,0.0
33,20-Mar-14,Well_#1,24.0,2948.0,207.807,998.181,44.92695,991.898,98.741,2014-03-20,743.0,751.0,986.0,0.0
34,21-Mar-14,Well_#1,24.0,2945.0,207.808,1015.3,44.95576,1021.3,98.413,2014-03-21,736.0,737.0,1008.0,0.0
35,22-Mar-14,Well_#1,24.0,2918.0,207.92,1039.71,45.67459,1003.48,106.659,2014-03-22,783.0,775.0,1097.0,0.0
36,23-Mar-14,Well_#1,24.0,2872.0,208.104,1006.43,46.33671,926.685,106.526,2014-03-23,835.0,825.0,1162.0,0.0
37,24-Mar-14,Well_#1,24.0,2877.0,208.057,1032.84,45.72187,942.691,109.386,2014-03-24,789.0,771.0,1086.0,0.0
38,25-Mar-14,Well_#1,24.0,2873.0,208.054,1033.23,45.72819,965.109,109.199,2014-03-25,783.0,769.0,1053.0,0.0
